bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,313000
5,2.5,3650,9050,2,0,4,5,3370,280,1921,0,2384000
3,2,1930,11947,1,0,0,4,1930,0,1966,0,342000
3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,420000
4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,550000
2,1,880,6380,1,0,0,3,880,0,1938,1994,490000
2,2,1350,2560,1,0,0,3,1350,0,1976,0,335000
4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,482000
3,2.5,2430,88426,1,0,0,4,1570,860,1985,0,452500
4,2,1520,6200,1.5,0,0,3,1520,0,1945,2010,640000
3,1.75,1710,7320,1,0,0,3,1710,0,1948,1994,463000
4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,1400000
3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,588500
3,1,1090,6435,1,0,0,4,1090,0,1955,2009,365000
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,1200000
3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,242500
3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,419000
4,3,3110,7231,2,0,0,3,3110,0,1997,0,367500
3,1.75,1370,5858,1,0,0,3,1370,0,1987,2000,257950
3,1.5,1180,10277,1,0,0,3,1180,0,1983,2009,275000
3,1.75,2240,10578,2,0,0,5,1550,690,1923,0,750000
4,1,1450,8800,1,0,0,4,1450,0,1954,1979,435000
3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,626000
4,2.5,2730,12261,2,0,0,3,2730,0,1991,0,612500
4,1.75,1600,6380,1,0,0,3,1130,470,1959,1989,495000
3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,285000
3,1.75,2360,7291,1,0,0,4,1360,1000,1948,0,615000
4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,698000
5,2.5,2820,67518,2,0,0,3,2820,0,1979,2014,675000
3,2.5,2600,4750,1,0,0,4,1700,900,1951,1999,790000
4,1.75,1560,8700,1,0,0,4,1560,0,1967,0,382500
4,2.5,2860,3345,2,0,0,3,2190,670,2004,2003,499950
4,2,1820,5000,1.5,0,1,3,1640,180,1945,2010,650000
4,2.5,2820,8408,2,0,0,3,2820,0,2014,0,625000
4,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,400000
3,2.5,3240,33151,2,0,2,3,3240,0,1995,0,604000
2,1,800,4850,1,0,0,4,800,0,1944,0,440000
3,3,1850,19966,1,0,0,4,1090,760,1992,0,287200
3,2,1960,13100,1,0,2,5,1650,310,1957,0,403000
3,2.5,2390,6550,1,0,2,4,1440,950,1955,2009,750000
3,2.25,1580,16215,1,0,0,4,1580,0,1978,2000,335000
